stadium_name,team_name,capacity_in_thousands,date_opened,turf,cost_in_billions,ID
Acrisure Stadium,Pittsburgh Steelers,68,7/10/2001,Grass,0.28,PIT
Allegiant Stadium,Las Vegas Raiders,65,21/09/2020,Grass,1.9,LVR
Arrowhead Stadium,Kansas City Chiefs,76,12/8/1972,Grass,0.043,KC
AT&T Stadium,Dallas Cowboys,80,20/09/2009,FieldTurf,1.3,DAL
Bank of America Stadium,Carolina Panthers,74,14/09/1996,Grass,0.242,CAR
Cleveland Browns Stadium,Cleveland Browns,67,12/9/1999,Grass,0.29,CLE
Empower Field,Denver Broncos,76,10/9/2001,Grass,0.364,DEN
FedEx Field,Washington Commanders,79,14/09/1997,Grass,0.25,WAS
Ford Field,Detroit Lions,65,22/09/2002,FieldTurf,0.43,DET
Gillette Stadium,New England Patriots,65,9/9/2002,Fieldturf,0.325,NE
Hard Rock Stadium,Miami Dolphins,65,16/08/1987,Grass,0.115,MIA
Highmark Stadium,Buffalo Bills,71,17/08/1973,FieldTurf,0.022,BUF
Lambeau Field,Green Bay Packers,81,29/09/1959,Grass,0.00096,GB
Levi’s Stadium,San Francisco 49ers,68,14/09/2014,Grass,1.3,SF
Lincoln Financial Field,Philadelphia Eagles,67,8/9/2003,Grass,0.518,PHI
Lucas Oil Stadium,Indianapolis Colts,67,7/9/2008,Fieldturf,0.72,IND
Lumen Field,Seattle Seahawks,68,15/09/2002,FieldTurf,0.36,SEA
M&T Bank Stadium,Baltimore Ravens,71,6/9/1998,Fieldturf,0.22,BAL
Mercedes Benz Stadium,Atlanta Falcons,71,17/09/2017,Fieldturf,1.5,ATL
MetLife Stadium,New York Giants/Jets,82,12/9/2010,FieldTurf,1.6,NYG/NYJ
Nissan Stadium,Tennessee Titans,69,12/9/1999,Grass,0.29,TEN
NRG Stadium,Houston Texans,71,8/9/2002,Grass,0.449,HOU
Paycor Stadium,Cincinnati Bengals,65,10/9/2000,Fieldturf,0.45,CIN
Raymond James Stadium,Tampa Bay Buccaneers,65,20/09/1998,Grass,0.194,TB
SoFi Stadium,Los Angeles Rams/Chargers,70,13/09/2020,FieldTurf,4.9,LAR/LAC
Soldier Field,Chicago Bears,61,26/09/2003,Grass,0.6,CHI
Superdome,New Orleans Saints,74,28/09/1975,FieldTurf,0.134,NO
TIAA Bank Field,Jacksonville Jaguars,67,18/09/1995,Grass,0.134,JAX
University of Phoenix Stadium,Arizona Cardinals,63,10/9/2006,Grass,0.455,ARI
US Bank Stadium,Minnesota Vikings,66,18/09/2016,Fieldturf,1.1,MIN
